,model
1711,Lockheed 14H Super Electra
1712,Lockheed 1649A Starliner
1713,Lockheed 18 Loadstar
1714,Lockheed 18 LodeStar
1715,Lockheed 18 Lodestar
1716,Lockheed 18-56 LodeStar
1717,Lockheed 18-56 Lodestar
1718,Lockheed 188A Electra
1719,Lockheed 188C  Electra
1720,Lockheed 188C Electra
1721,Lockheed 188PF Electra
1722,Lockheed 749 Constellation
1723,Lockheed 749-79-33 Constellation
1724,Lockheed 749-79-34 Constellation
1725,Lockheed 749A Constellation
1726,Lockheed 749A-79 Constellation
1727,Lockheed 749A-79-32 Constellation
1728,Lockheed 749A-79-33 Constellation
1729,Lockheed 749C-79-12 Constellation
1730,Lockheed AC-130A Hercules
1731,Lockheed C-121C Super Constellation
1732,Lockheed C-130
1733,Lockheed C-130 Hercules
1734,Lockheed C-130A
1735,Lockheed C-130A Hercules
1736,Lockheed C-130A-II Hercules
1737,Lockheed C-130B
1738,Lockheed C-130B Hercules
1739,Lockheed C-130E
1740,Lockheed C-130E Hercules
1741,Lockheed C-130E-I Hercules
1742,Lockheed C-130H
1743,Lockheed C-130H Hercules
1744,Lockheed C-130H-30
1745,Lockheed C-130HF
1746,Lockheed C-130K Hercules
1747,Lockheed C-141A
1748,Lockheed C-141A (L.300)
1749,Lockheed C-141B
1750,Lockheed C-141B / Lockheed C141B
1751,Lockheed C-28
1752,Lockheed C-5A
1753,Lockheed C-5A Galaxy
1754,Lockheed C-60 Lodestar
1755,Lockheed C-69 Constellation
1756,Lockheed C121J
1757,Lockheed C130B
1758,Lockheed C130D
1759,Lockheed CC-130E
1760,Lockheed CC-130E Hercules
1761,Lockheed EC-121H
1762,Lockheed EC-121M
1763,Lockheed EC-121P
1764,Lockheed EC-130E Hercules
1765,Lockheed EC-130Q
1766,Lockheed EC121R
1767,Lockheed HC-130H Hercules
1768,Lockheed HC-130P Hercules
1769,Lockheed Hercules C-130
1770,Lockheed Hercules C.1
1771,Lockheed Hercules KC-130R
1772,Lockheed Hercules MC-130H
1773,Lockheed Hudson
1774,Lockheed Hudson A16-97
1775,Lockheed Hudson VI
1776,Lockheed KC-130F
1777,Lockheed L- 749A Constellation
1778,Lockheed L-049 Constellation
1779,Lockheed L-049-46 Constellation
1780,Lockheed L-049-46-26 Constellation
1781,Lockheed L-100 Hercules
1782,Lockheed L-100-20 Hercules
1783,Lockheed L-100-30 Hercules
1784,Lockheed L-1011
1785,Lockheed L-1011 TriStar1
1786,Lockheed L-1011-1 TriStar
1787,Lockheed L-1011-100
1788,Lockheed L-1011-200
1789,Lockheed L-1049H Super Constellation
1790,Lockheed L-1649A Starliner
1791,Lockheed L-18-56 Lodestar
1792,Lockheed L-188A Electra
1793,Lockheed L-188AF Electra
1794,Lockheed L-188C Electra
1795,Lockheed L-188CF Electra
1796,Lockheed L-382B Hercules
1797,Lockheed L-649 Constellation
1798,Lockheed L-749 / Cessna 140
1799,Lockheed L-749-79-33 Constellation
1800,Lockheed L-749A Constellation
1801,Lockheed L-749A-79 Constellation
1802,Lockheed L188A Electra
1803,Lockheed MC-130E-Y
1804,Lockheed MC-130H Hercules
1805,Lockheed Martin L-100-10
1806,Lockheed Martin L-100-30 Hercules
1807,Lockheed Orion
1808,Lockheed Orion 9
1809,Lockheed Orion 9D
1810,Lockheed Orion 9E Explorer float plane
1811,Lockheed P-3A
1812,Lockheed P-3A Orion
1813,Lockheed P-3B Orion
1814,Lockheed P-3C / Convair CV-990-30A-5
1815,Lockheed P-3C / Lockheed P-3C
1816,Lockheed P-3C Orion /Convair CV-990
1817,Lockheed P2V-7
1818,Lockheed R-7V1
1819,Lockheed R7V-1
1820,Lockheed Super Constellation
1821,Lockheed Vega
1822,Lockheed Vega 2
1823,Lockheed Vega 5
1824,Lockheed Vega 5B
1825,Lockheed Vega 5C
1826,Lockheed WC-130H Hercules
1827,Lockheed WV-2
1828,Lockheed WV-2 Super Constellation
1829,Loening C-2C
1830,Loening C-W Air Yaht
1831,MBB HFB-320 Hansa Jet
1832,MD DC-8-11 / Lockheed  1049 S Const
1833,MD Douglas DC-9-15 / Beechcraft Baron-55
1834,MD Douglas DC-9-31/Piper Cherokee PA-28
1835,MD Douglas DC-9-32 / Piper PA-28-181
1836,MD Douglas DC-9-32/Convair CV-990A
1837,MD-87 / Cessna 525A Citation II
1838,MDonnell Dougals DC-9
1839,MDonnell Douglas 369FF Rotocraft
1840,MDonnell Douglas DC-9-32
1841,MDonnell Douglas MD-81
1842,MH-47 Chinook helicopter
1843,Macchi C-94
1844,Martin 202
1845,Martin 202A / DC-3
1846,Martin 404
1847,Martin M-130 (flying boat)
1848,Martin Mariner
1849,Martin PBM-3S  / Martin PBM-5
1850,McDonnel F-4E Phantom II
1851,McDonnell DC-9-32
1852,McDonnell Douglas 369D
1853,McDonnell Douglas DC-10-10
1854,McDonnell Douglas DC-10-30
1855,McDonnell Douglas DC-10-30CF
1856,McDonnell Douglas DC-8
1857,McDonnell Douglas DC-8 Super 61
1858,McDonnell Douglas DC-8 Super 62
1859,McDonnell Douglas DC-8 Super 63PF
1860,McDonnell Douglas DC-8-12
1861,McDonnell Douglas DC-8-21
1862,McDonnell Douglas DC-8-33
1863,McDonnell Douglas DC-8-43
1864,McDonnell Douglas DC-8-51
1865,McDonnell Douglas DC-8-52
1866,McDonnell Douglas DC-8-53
1867,McDonnell Douglas DC-8-54F37
1868,McDonnell Douglas DC-8-55F
1869,McDonnell Douglas DC-8-61
1870,McDonnell Douglas DC-8-61F
1871,McDonnell Douglas DC-8-62
1872,McDonnell Douglas DC-8-62H
1873,McDonnell Douglas DC-8-63
1874,McDonnell Douglas DC-8-63AF
1875,McDonnell Douglas DC-8-63CF
1876,McDonnell Douglas DC-8-63F
1877,McDonnell Douglas DC-8-71F
1878,McDonnell Douglas DC-8-Super 63CF
1879,McDonnell Douglas DC-8F-54F
1880,McDonnell Douglas DC-8F-55
1881,McDonnell Douglas DC-9 and Cessna 150F
1882,McDonnell Douglas DC-9-14
1883,McDonnell Douglas DC-9-15
1884,McDonnell Douglas DC-9-15RC
1885,McDonnell Douglas DC-9-30
1886,McDonnell Douglas DC-9-31
1887,McDonnell Douglas DC-9-31 / F4-B
1888,McDonnell Douglas DC-9-31 / Trident 3B
1889,McDonnell Douglas DC-9-32
1890,McDonnell Douglas DC-9-33CF
1891,McDonnell Douglas DC-9-33RC
1892,McDonnell Douglas DC-9-51
1893,McDonnell Douglas DC-9-82 / Cessna 441
1894,McDonnell Douglas MD-11
1895,McDonnell Douglas MD-81
1896,McDonnell Douglas MD-82
1897,McDonnell Douglas MD-83
1898,McDonnell Douglas MD-88
1899,McDonnell Douglas MD-90-30
1900,McDonnell-Douglas MD-82
1901,Messerschmitt M-20
1902,Messerschmitt M-20B
1903,Mi 8
1904,Mi-17
1905,Mi-17 Helicopter
1906,Mi-35
1907,Mi-8
1908,Mi-8 helicopter
1909,Mi-8MTV-1
1910,MiG-15 UTI
1911,MiG-23
1912,Mil Mi 8T (helicopter)
1913,Mil Mi-17
1914,Mil Mi-17 ( helicopter)
1915,Mil Mi-17 (helicopter)
1916,Mil Mi-18 Helicopter
1917,Mil Mi-26
1918,Mil Mi-4 / Mil Mi-4
1919,Mil Mi-8
1920,Mil Mi-8 (helicopter)
1921,Mil Mi-8 / Mil Mi-8
1922,Mil Mi-8MTV (helicopter)
1923,Mil Mi-8MTV-1
1924,Mil Mi-8T
1925,Mil Mi-8T (helicopter)
1926,Military - Ecudorian Air Force
1927,Military - U.S. Air Force
1928,Mitsubish MU-2 uise
1929,Mitsubishi MC-20
1930,Mitsubishi MU 2B 35
1931,Mitsubishi MU-2B
1932,Mitsubishi MU-2B-60
1933,Mitsubishi MU-2J
1934,Mitsubishi MU-2L Marquise
1935,NA Rockwell 112
1936,NAMC YS-11A-202
1937,NAMC YS-11A-211
1938,NAMC YS-11A-219
1939,NAMC YS-11A-227
1940,NAMC YS-11A-300F
1941,NAMC YS-11A-500
1942,NAMC-YS-11-111
1943,Nakajima DC-2
1944,Nord 2501 Noratlas
1945,Nord 262
1946,Nord 262A-34
1947,Nord 262A-44
1948,Nord 262C-66
1949,Nord 262E
1950,Norman BN-2A-6
1951,North American B-25D bomber
1952,North American CT-39A Sabreline
1953,North American F-100D-25NA
1954,Northrop Alpha
1955,Northrop Delta
1956,Northrop F-5A
1957,OFM F-VIIb/3m
1958,PA- 31-350 Chieftain
1959,PA-23-250
1960,PA-34-220T Seneca III
1961,PBY-5A Catalina
1962,PBY4-2 Privateer / PB4Y-2 Privateer
1963,PS-1
1964,PS-1 amphibious ASW
1965,PT-LCN
1966,PZL-MieleAN-2R
1967,PZL-MieleM28
1968,Partenavia P-68C
1969,Pel Air
1970,Piaggio PD-808
1971,Pilatus Britten Norman BN-2A-27 Islander
1972,Pilatus Britten-Norman BN-2A-21 Islander
1973,Pilatus Britten-Norman BN-2B-27 Islander
1974,Pilatus PC-12/45
1975,Pilatus PC-6
1976,Pilatus PC-6 Turbo Porter
1977,Pilatus PC-6 Turbo Porter / Cessna 206
1978,Pilatus PC-6/B2-H2 Turbo-Porter
1979,Pilatus PC6CH2
1980,Pilatus Pc-6C
1981,Pilatus-Britten Norman BN-2A-27 Islander
1982,Pilatus-Britten Norman BN-2B-26 Islander
1983,Pilgrim 100B
1984,Piper Aero Commander 560E
1985,Piper Aerostar 601 / Bell 412SP
1986,Piper Cherokee Arrow  PA-28
1987,Piper Navajo PA-31/ Piper Seminole PA-44
1988,Piper PA-18
1989,Piper PA-23
1990,Piper PA-23-250
1991,Piper PA-23-250 Aztec
1992,Piper PA-24
1993,Piper PA-24-250 Comanche
1994,Piper PA-28
1995,Piper PA-28-161
1996,Piper PA-28-180
1997,Piper PA-28-181
1998,Piper PA-28R
1999,Piper PA-30
2000,Piper PA-30 / Cessna 337A
2001,Piper PA-31
2002,Piper PA-31-250
2003,Piper PA-31-310
2004,Piper PA-31-310 Navajo
2005,Piper PA-31-325 Navajo
2006,Piper PA-31-350
2007,Piper PA-31-350 Chieftain
2008,Piper PA-31-350 Navajo
2009,Piper PA-31-350 Navajo Chieftain
2010,Piper PA-31T
2011,Piper PA-32
2012,Piper PA-32-260
2013,Piper PA-32-300
2014,Piper PA-32-301
2015,Piper PA-32-301 Cherokee
2016,Piper PA-32-R301 Saratoga II HP
2017,Piper PA-32R
2018,Piper PA-32R-300
2019,Piper PA-32RT-300
2020,Piper PA-34
2021,Piper PA-42
2022,Piper PA-42 Cheyenne
2023,Piper PA31-310
2024,Pipper PA-23-250 Aztec
2025,Pitcairn PA-6 Mailwing
2026,Pitcairns PA-6
2027,Potez 621
2028,Potez IX
2029,Robertson 414
2030,Robertson C-U206F
2031,Robertson R44 helicopter
2032,Rochrbach Roland
2033,Rockwell 1121B Jet Commander
2034,Rockwell 500S Shrike Commander
2035,Rockwell CT-39A Sabreliner
2036,Rockwell Gulfstream Jetprop 840
2037,Rockwell International 690B
2038,Rockwell Sabreliner 40
2039,Rockwell Sabreliner 60
2040,Rockwell Sabreliner 65
2041,Rockwell Turbo Commander 690B
2042,Rohrbach Roland
2043,Royal Airship Works R-101
2044,Royal Airship Works ZR-2 (airship)
2045,Rutan Long EZ (experimental aircraft)
2046,Ryan M-1
2047,S2F-1 / HSS-2
2048,SNCASE Languedoc
2049,SNCASE SE.2010 Armagnac
2050,SNIAS SA330J
2051,SPCA Meteore 63
2052,Saab 340B
2053,Saab Scandia
2054,Saab Scandia / Cessna 310
2055,Saab Scandia 90A-1
2056,Saab340B
2057,Sabca F-VII
2058,Sabca S-73
2059,Salmson 2-A-2
2060,Saro Cloud
2061,Savbia-Marchetti  S-73P
2062,Savoia Marchetti S-66
2063,Savoia Marchetti SM-95
2064,Savoia-Marchetti SM-75
2065,Savoia-Marchetti SM-95
2066,Savoia-Marchetti SM73
2067,Savoia-Marchetti SM83
2068,Schutte-Lanz S-L-10 (airship)
2069,Schutte-Lanz S-L-9 (airship)
2070,Sepecat Jaguar A
2071,Shaanxi Y-8D
2072,Shaanxi Yunshuji Y-8/Yunshuji Y-8
2073,Short  S-23 (flying boat)
2074,Short  S-29 Stirling V
2075,Short 360
2076,Short Calcutta
2077,Short Empire Flying Boat
2078,Short Kent
2079,Short S-23
2080,Short S-23 (flying boat)
2081,Short S-26 (flying boat)
2082,Short S23 ‘C’ Class flying boat
2083,Short SC7- Skyvan
2084,Short Sandringham (flying boat)
2085,Short Sandringham 2 (flying boat)
2086,Short Sandringham 5 (flying boat)
2087,Short Sandringham 6 (flying boat)
2088,Short Solent 3 (flying boat)
2089,Short Stirling
2090,Short Stirling IV
2091,Short Sunderland
2092,Short Sunderland (flying boat)
2093,Short Sunderland 3 (flying boat)
2094,Short Sunderland 9 (flying boat)
2095,Shorts 330-200
2096,Shorts 360
2097,Shorts 360-100
2098,Shorts 360-100 /Shorts 360-300
2099,Shorts 360-300
2100,Shorts SC-7 Skyvan
2101,Shorts SC-7 Skyvan 3-100
2102,Shorts SC-7 Skyvan 3-200
2103,Shorts SC-7 Skyvan 3-300
2104,Shorts SC-7 Skyvan 3A-200
2105,Shorts SC-7 Skyvan 3M Variant 100
2106,Shorts SC.7 Skyvan 3-100
2107,Shrike Commander 500S
2108,Siebel Si-204
2109,Sikorksky CH-53 (helicopter)
2110,Sikorsky  S 76 A
2111,Sikorsky CH-53A (helicopter)
2112,Sikorsky CH-53C (helicopter)
2113,Sikorsky CH-53D
2114,Sikorsky CH-53D (helicopter)
2115,Sikorsky CH53D / Sikorsky CH53D
2116,Sikorsky S 76
2117,Sikorsky S-25
2118,Sikorsky S-38 Flying Boat
2119,Sikorsky S-38B
2120,Sikorsky S-38BB
2121,Sikorsky S-42 (flying boat)
2122,Sikorsky S-42A
2123,Sikorsky S-42B (flying boat)
2124,Sikorsky S-43
2125,Sikorsky S-43 (flying boat)
2126,Sikorsky S-43B (flying boat)
2127,Sikorsky S-55B
2128,Sikorsky S-58C helicopter
2129,Sikorsky S-58ET
2130,Sikorsky S-58ET (helilcopter)
2131,Sikorsky S-58T
2132,Sikorsky S-61L helicopter
2133,Sikorsky S-61N
2134,Sikorsky S-61N-II
2135,Sikorsky S-62A
2136,Sikorsky S-70 / Sikorsky S-70
2137,Sikorsky S-76
2138,Sikorsky S-76A
2139,Sikorsky S-76B helicopter
2140,Sikorsky S-76C
2141,Sikorsky S-92A
2142,Sikorsky S43 (flying boat)
2143,Sikorsky S61-L
2144,Sikorsky S61L
2145,Sikorsky UH-60 / Sikorsky UH-60
2146,Sikorsky UH-60A / Sikorsky UH-60A
2147,Sikorsky UH-60L Black Hawk
2148,Silver City Airways
2149,Sinson
2150,Sirkorsky 44A (flying boat)
2151,Soloy 12EJ3
2152,Stearman 4
2153,Stearman C-38
2154,Stearman C-3MB
2155,Stearman M-2 Speedmail
2156,Stinson
2157,Stinson  SM-6000B
2158,Stinson AT-19
2159,Stinson Model A
2160,Stinson Reliant
2161,Stinson SM-2A
2162,Stinson SM-6000-B
2163,Stinson SM-6000B
2164,Stinson SM6000B Tri-motor
2165,Stinson SR-7 Reliant
2166,Sud Aviation Caravelle 1
2167,Sud Aviation Caravelle 10R
2168,Sud Aviation Caravelle 3
2169,Sud Aviation SA 318C
2170,Sud Aviation SE 210 Caravelle III
2171,Sud Aviation SE-210 Caravelle
2172,Sud Aviation SE-210 Caravelle 10R
2173,Sud Aviation SE-210 Caravelle 6N
2174,Sud Aviation SE-210 Caravelle III
2175,Sud Aviation SE-210 Caravelle VIN
2176,Sud Aviation SE-210 Caravelle VIR
2177,Sud-Aviation  Caravelle VI-N
2178,Sud-Aviation Caravelle 10-R
2179,Sud-Aviation Caravelle 3
2180,Sud-Aviation Caravelle III
2181,Sud-Aviation Caravelle VI-N
2182,Sud-Aviation Caravelle VI-R
2183,Sud-Aviation SE210 Caravelle
2184,Sukhoi Su-27
2185,Super Zeppelin (airship)
2186,Swear. SA-227CC Metro 23/Piper Navajo
2187,Swearingen 226TC Metro II
2188,Swearingen SA-226AT Merlin IV
2189,Swearingen SA-226T Metro II
2190,Swearingen SA-226TC / Mooney M-20C
2191,Swearingen SA-226TC Metro II
2192,Swearingen SA-226TC Metroliner II
2193,Swearingen SA-227AC Metro III
2194,Swearingen SA-26TC Metro II
2195,Swearingen SA.226AT Merlin IV
2196,Swearingen SA.226TC Metro I
2197,Swearingen SA.226TC Metro II
2198,Swearingen SA.227AC Metro
2199,Swearingen SA.227AC Metro III
2200,Swearingen SA.227AT Merlin IVC
2201,Swearingen SA227-AC
2202,Swearingen SA227AC Metro III
2203,Swearingen SA227AC Metroliner III
2204,Swearingen SA227AT Merlin IVC
2205,Swearingen SA26AT
2206,Swearingen SA26T
2207,Transall C-160
2208,Transall C-160D
2209,Transall C-160NG
2210,Transportes Aéreos Orientales
2211,Travel Air 4000
2212,Travel Air 6000
2213,Travel Air A6000A
2214,Travel Air B6000
2215,Tupelov 134AK
2216,Tupelov Tu-124
2217,Tupolev 134A
2218,Tupolev 134A-3
2219,Tupolev 154B
2220,Tupolev 154B-2
2221,Tupolev 154M
2222,Tupolev ANT-20 / I-5
2223,Tupolev TU 154B-2
2224,Tupolev TU-104
2225,Tupolev TU-104-A
2226,Tupolev TU-104A
2227,Tupolev TU-104B
2228,Tupolev TU-114B
2229,Tupolev TU-124
2230,Tupolev TU-134
2231,Tupolev TU-134A
2232,Tupolev TU-134A / Antonov An-26
2233,Tupolev TU-134A / Tupolev Tu-134A
2234,Tupolev TU-134B-3
2235,Tupolev TU-144
2236,Tupolev TU-154
2237,Tupolev TU-154A
2238,Tupolev TU-154B
2239,Tupolev TU-154B-1
2240,Tupolev TU-154B-2
2241,Tupolev TU-154M
2242,Tupolev TU-154M / Boeing B-757-23APF
2243,Tupolev TU-154M / C-141 Starlifter
2244,Tupolev TU-154M / Sukhoi Su-24
2245,Tupolev Tu-104A
2246,Tupolev Tu-104B
2247,Tupolev Tu-154
2248,Tupolev Tu-154M
2249,UC-64A Noorduyn Norseman
2250,UH-60 Black Hawk / UH-60 Black Hawk
2251,UH-60 Blackhawk helilcopter
2252,V6 (airship)
2253,VEB 14P
2254,Vickers 604 Viking 1B
2255,Vickers 610 Viking 1B
2256,Vickers 610 Viking-1B
2257,Vickers 614 Viking 1
2258,Vickers 615 Viking 1B
2259,Vickers 616 Viking 1B
2260,Vickers 620 Viking 1
2261,Vickers 621 Viking 1
2262,Vickers 628 Viking 1B
2263,Vickers 634 Viking
2264,Vickers 634 Viking 1B
2265,Vickers 639 Viking 1
2266,Vickers 708 Viscount
2267,Vickers 720 Viscount
2268,Vickers 74 Vulcan
2269,Vickers 757 Viscount
2270,Vickers 785D Viscount
2271,Vickers 798D Viscount
2272,Vickers 802 Viscount
2273,Vickers 803 Viscount
2274,Vickers 804 Viscount
2275,Vickers 813 Viscount
2276,Vickers 815 Viscount
2277,Vickers 828 Viscount
2278,Vickers 837 Viscount
2279,Vickers 952F Vanguard
2280,Vickers Valetta
2281,Vickers Valetta C-1
2282,Vickers Valetta C-Mk.1
2283,Vickers Valetta Mk1 / Avero Lancaster
2284,Vickers Valetta T-3
2285,Vickers Vanguard 951
2286,Vickers Vanguard 952
2287,Vickers Viking
2288,Vickers Viking 1B
2289,Vickers Viking 1B & Soviet YAK-3 fighter
2290,Vickers Viking 3B
2291,Vickers Viking 610-1B
2292,Vickers Viscount
2293,Vickers Viscount 701
2294,Vickers Viscount 701C
2295,Vickers Viscount 708
2296,Vickers Viscount 710C
2297,Vickers Viscount 720
2298,Vickers Viscount 724
2299,Vickers Viscount 739A
2300,Vickers Viscount 739B
2301,Vickers Viscount 745D
2302,Vickers Viscount 745D / T-33A
2303,Vickers Viscount 748D
2304,Vickers Viscount 749
2305,Vickers Viscount 754D
2306,Vickers Viscount 755D
2307,Vickers Viscount 759D
2308,Vickers Viscount 763
2309,Vickers Viscount 764 D
2310,Vickers Viscount 764D
2311,Vickers Viscount 768D
2312,Vickers Viscount 781D
2313,Vickers Viscount 782D
2314,Vickers Viscount 785D
2315,Vickers Viscount 794D
2316,Vickers Viscount 803
2317,Vickers Viscount 804
2318,Vickers Viscount 812
2319,Vickers Viscount 816
2320,Vickers Viscount 818
2321,Vickers Viscount 827 / Fokker AT-6
2322,Vickers Viscount 828
2323,Vickers Viscount 832
2324,Vickers Viscount 837
2325,Vickers Viscount 838
2326,Vickers Wellington bomber
2327,Volpar 18
2328,Volpar C45G
2329,Vultee V-1
2330,'Waco, model YLC'
2331,Westland Sea King HC-4 (helicopter)
2332,Wibault 280
2333,Wibault 282T-12
2334,Wibault 283-T12
2335,Wright Flyer III
2336,Xian Yunshuji Y-7-100C
2337,Yakovlev 40
2338,Yakovlev 40D
2339,Yakovlev 42D
2340,Yakovlev YAK-40
2341,Yakovlev YAK-40 / Mil Mi-8
2342,Yakovlev YAK-42
2343,Yakovlev YAK-42D
2344,Yakovlev Yak-40
2345,Yunshuji Y-12
2346,Yunshuji Y-12-II
2347,Yunshuji Y-8D
2348,Zeppelin Dixmunde (airship)
2349,Zeppelin L-1 (airship)
2350,Zeppelin L-10 (airship)
2351,Zeppelin L-2 (airship)
2352,Zeppelin L-22 (airship)
2353,Zeppelin L-23 (airship)
2354,Zeppelin L-31 (airship)
2355,Zeppelin L-32 (airship)
2356,Zeppelin L-34 (airship)
2357,Zeppelin L-43 (airship)
2358,Zeppelin L-44 (airship)
2359,Zeppelin L-53 (airship)
2360,Zeppelin L-59 (airship)
2361,Zeppelin L-70 (airship)
2362,Zeppelin L-8 (airship)
2363,Zeppelin LZ-129
2364,de Hav Can. DHC-6 Tw Otter 100/ Cessna
2365,de Havilland  Canada  DHC-5D Buffalo
2366,de Havilland 104-6A
2367,de Havilland 104-7X
2368,de Havilland 106A
2369,de Havilland 110
2370,de Havilland C-7B / Boeing Vertol CH-47A
2371,de Havilland Can. DHC-6 -300/ Bell 206B
2372,de Havilland Canada C-7A Caribou
2373,de Havilland Canada C-7B Caribou
2374,de Havilland Canada CV-2B Caribou
2375,de Havilland Canada DHC-2 Beaver
2376,de Havilland Canada DHC-2 Mark I Beaver
2377,de Havilland Canada DHC-3 Otter
2378,de Havilland Canada DHC-3 Turbo Otter
2379,de Havilland Canada DHC-4 Caribou
2380,de Havilland Canada DHC-4A
2381,de Havilland Canada DHC-4A Caribou
2382,de Havilland Canada DHC-4T Caribou
2383,de Havilland Canada DHC-5 Buffalo
2384,de Havilland Canada DHC-5D Buffalo
2385,de Havilland Canada DHC-6 Twin Otter
2386,de Havilland Canada DHC-6 Twin Otter 100
2387,de Havilland Canada DHC-6 Twin Otter 200
2388,de Havilland Canada DHC-6 Twin Otter 300
2389,de Havilland Canada DHC-6 Twin Otter 310
2390,de Havilland Canada DHC-6-300 Twin Otter
2391,de Havilland Canada DHC-7-102
2392,de Havilland Canada DHC-7-103
2393,de Havilland Canada DHC-8-102
2394,de Havilland Canada DHC-8-103
2395,de Havilland Canada DHC-8-301
2396,de Havilland Canada U-1A Otter
2397,de Havilland Comet 4
2398,de Havilland Comet 4B
2399,de Havilland Comet 4C
2400,de Havilland DH-104
2401,de Havilland DH-104 / Piper PA-28
2402,de Havilland DH-106 Comet 4
2403,de Havilland DH-114 Heron
2404,de Havilland DH-114 Heron 1B
2405,de Havilland DH-114 Heron 2
2406,de Havilland DH-114 Heron 2B
2407,de Havilland DH-114 Heron 2D
2408,de Havilland DH-125-1A
2409,de Havilland DH-125-400A
2410,de Havilland DH-18 / Farman F-60 Goliath
2411,de Havilland DH-34
2412,de Havilland DH-34B
2413,de Havilland DH-50A
2414,de Havilland DH-66 Hercules
2415,de Havilland DH-84
2416,de Havilland DH-84 Dragon
2417,de Havilland DH-86
2418,de Havilland DH-86A
2419,de Havilland DH-89A Dragon Rapide
2420,de Havilland DH-9
2421,de Havilland DH-9C
2422,de Havilland DH.50J
2423,de Havilland DH106 Comet 1
2424,de Havilland DH106 Comet 1A
2425,de Havilland DH114 Heron 2E
2426,de Havilland DHA-3 Drover II
2427,de Havilland DHC -6-100
2428,de Havilland DHC-2
2429,de Havilland DHC-2 Beaver
2430,de Havilland DHC-2 MK.1 Beaver
2431,de Havilland DHC-2 Mk 1 Beaver
2432,de Havilland DHC-3
2433,de Havilland DHC-3 Otter
2434,de Havilland DHC-5 Buffalo
2435,de Havilland DHC-6
2436,de Havilland DHC-6 Twim Otter 100
2437,de Havilland DHC-6 Twin Otter 300
2438,de Havilland DHC-6-200
2439,de Havilland Dash-2 Beaver
2440,de Havilland Dash-2 float plane
2441,de Havilland Dove 1
2442,de Havilland Dragon 1
2443,de Havilland RU-6A Beaver /Bell UH-1H
2444,de havilland Canada Twin Otter 200
2445,deHavilland DH-86
